"filename", "language", "Markdown", "JSON", "JavaScript", "XML", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 29, 0, 8, 11, 48
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 0, 0, 29, 13, 169
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\AuthForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\ConfidenceSlider.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\GuestRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\LatexRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 18, 11, 73
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 5, 9, 102
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\QuestionEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 309, 0, 0, 7, 16, 332
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\QuizCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 12, 132
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\RoleRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\AnalyticsSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 5, 7, 143
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\ConfidenceCalibration.jsx", "JavaScript JSX", 0, 0, 0, 0, 254, 0, 0, 12, 17, 283
"c:\Users\Moe\Desktop\Quiz-App\frontend\src\components\analytics\PerformanceDistribution.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 5, 9, 171
