Date : 2025-09-25 21:49:37
Directory : c:\Users\Moe\Desktop\Quiz-App
Total : 83 files,  13925 codes, 397 comments, 1043 blanks, all 15365 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\store\slices\authSlice.js                        | JavaScript     |         68 |          0 |          8 |         76 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\store\slices\quizSlice.js                        | JavaScript     |         45 |          0 |          5 |         50 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\store\store.js                                   | JavaScript     |         12 |          0 |          3 |         15 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\utils\latex.js                                   | JavaScript     |          5 |          0 |          1 |          6 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\src\utils\scoring.js                                 | JavaScript     |         17 |          0 |          3 |         20 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\tailwind.config.cjs                                  | JavaScript     |         48 |          1 |          1 |         50 |
| c:\Users\Moe\Desktop\Quiz-App\frontend\vite.config.js                                       | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\Moe\Desktop\Quiz-App\package.json                                                  | JSON           |         15 |          0 |          1 |         16 |
| Total                                                                                       |                |     13,925 |        397 |      1,043 |     15,365 |
+---------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
